"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"96","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Whisky",392947,27337,18.6841804954591,1.29984308877371
"97","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Brandy",18459,1594,0.877704341210594,0.0757928771813038
"98","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Schnapps",63574,4549,3.02287099995245,0.216299747991061
"99","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Distilled Spirits",5107,313,0.242832009890162,0.0148827920688507
"100","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Amaretto",4031,395,0.19166944034996,0.0187817982977509
"101","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Amaretto",5830,686,0.285155294693079,0.0335534360479335
"102","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Whisky",644457,44758,31.5214966984593,2.18919051112742
"103","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Schnapps",60064,4643,2.93783321105405,0.227097089752996
"104","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Gin",44777,3887,2.19011983370017,0.190119833700171
"105","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Distilled Spirits",5261,243,0.257324529224749,0.0118855465884079
"106","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Tequila",121906,6446,5.96263145023233,0.315284910736121
"107","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Misc",130400,7939,6.3780875519687,0.388310100269014
"108","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Rum",245103,18131,11.9884079236977,0.886818292981169
"109","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Brandy",124708,5731,6.09968207385669,0.280313034971876
"110","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Vodka",307204,29151,15.0258742968941,1.42582538517975
"111","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Brandy",8452,772,0.565994776669122,0.0516975825353245
