"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"196",50846,54523,1054,51.7296015180266
"197",50849,135140,2556,52.8716744913928
"198",50851,45255,1987,22.775541016608
"199",50854,139272,2427,57.3844252163164
"200",50864,10869,1950,5.57384615384615
"201",51001,31070,2397,12.9620358781811
"202",51002,8486,2877,2.94960027806743
"203",51003,78063,1746,44.7096219931272
"204",51004,103419,1114,92.8357271095153
"205",51005,8467,1365,6.2029304029304
"206",51012,668894,6335,105.587056037885
"207",51023,124931,3157,39.5726955970858
"208",51025,240057,2008,119.550298804781
"209",51027,16087,1144,14.0620629370629
"210",51028,65155,2069,31.4910584823586
"211",51031,1297765,12130,106.988046166529
"212",51034,229663,1852,124.008099352052
"213",51035,34453,1381,24.9478638667632
"214",51038,6421,1577,4.0716550412175
"215",51040,286070,3531,81.0167091475503
"216",51041,399051,7593,52.5551165547215
"217",51046,83760,1690,49.5621301775148
"218",51050,120063,2604,46.1071428571429
"219",51053,8658,1094,7.91407678244973
"220",51054,188072,5428,34.6484893146647
"221",51055,71071,1578,45.0386565272497
"222",51058,40862,903,45.2513842746401
"223",51061,375,726,0.516528925619835
"224",51101,505121,826,611.526634382567
"225",51103,1935660,17688,109.433514246947
"226",51104,1191041,22223,53.5949691760788
"227",51105,974360,10333,94.2959450304849
"228",51106,3361459,26012,129.227241273258
"229",51108,706569,5931,119.131512392514
"230",51109,110357,3107,35.5188284518828
"231",51201,799090,6020,132.739202657807
"232",51230,153,468,0.326923076923077
"233",51237,37787,1563,24.1759436980166
"234",51238,9148,1132,8.08127208480565
"235",51240,103173,2180,47.3270642201835
"236",51241,216005,1658,130.280458383595
"237",51245,91431,1239,73.7941888619855
"238",51246,316325,3385,93.4490398818316
"239",51247,128708,5223,24.6425426000383
"240",51248,65609,1782,36.817620650954
"241",51249,233323,3297,70.7682741886563
"242",51250,662400,8391,78.9417232749374
"243",51301,1448957,12778,113.394662701518
"244",51331,403051,1023,393.989247311828
"245",51334,563186,7197,78.2528831457552
"246",51338,8007,974,8.22073921971253
"247",51342,31845,1200,26.5375
"248",51346,142642,2352,60.6471088435374
"249",51347,30636,1443,21.2307692307692
"250",51351,1161633,4581,253.576293385724
"251",51355,29233,843,34.6773428232503
"252",51358,33856,1103,30.6944696282865
"253",51360,2139653,8346,256.368679606997
"254",51401,2039061,11900,171.349663865546
"255",51442,1117922,9908,112.830238191361
"256",51443,28285,1905,14.8477690288714
"257",51445,235474,2786,84.5204594400574
"258",51449,115107,2126,54.1425211665099
"259",51450,184162,1393,132.205312275664
"260",51453,3527,751,4.69640479360852
"261",51455,96680,2217,43.6084799278304
