category,Table Name,zipcode,bachelor,high.school,income,pop.asian,pop.black,pop.hawai,pop.indian,pop.multi,pop.other,pop.white,population,sale.dollars,sale.volume,unemployment
,project.acs.zipcodes.csv,50108,12.7,86.7,31645,0,0,0,0,0,0,385,385,,,3.6
,project.acs.zipcodes.csv,50109,37.6,95.6,46100,0,7,0,1,4,35,2779,2826,,,2
,project.acs.zipcodes.csv,50111,48.8,98.1,47065,324,2,0,35,338,0,11647,12346,,,3
,project.acs.zipcodes.csv,50112,28.6,92.8,21088,366,294,5,15,149,24,10679,11532,,,4.1
,project.acs.zipcodes.csv,50115,13.9,89.4,27313,1,23,0,0,71,17,2679,2791,,,3.2
,project.acs.zipcodes.csv,50116,7.2,89,29659,0,0,0,0,0,0,313,313,,,3.5
,project.acs.zipcodes.csv,50117,28.4,85.1,40625,0,0,0,0,0,0,78,78,,,0
,project.acs.zipcodes.csv,50118,12.6,94.5,38750,0,19,0,0,47,0,961,1027,,,7.3
,project.acs.zipcodes.csv,50119,7.7,93,22303,0,0,0,0,0,0,518,518,,,2.8
,project.acs.zipcodes.csv,50120,19.7,96.9,24375,1,0,0,0,0,0,317,318,,,3
,project.acs.zipcodes.csv,50122,21.2,89.7,37083,9,8,0,0,3,0,1442,1462,,,3.4
,project.acs.zipcodes.csv,50123,13.6,95.6,31689,0,0,0,2,9,0,677,688,,,1.5
,project.acs.zipcodes.csv,50124,36,96,40875,45,19,0,0,0,0,3800,3864,,,6.7
,project.acs.zipcodes.csv,50125,29.7,95.3,31014,105,84,51,36,364,66,19086,19792,,,6.3
,project.acs.zipcodes.csv,50126,18.5,93.3,27194,21,129,0,26,77,76,6550,6879,,,3.8
,project.acs.zipcodes.csv,50127,0,0,,0,0,0,0,0,0,18,18,,,
,project.acs.zipcodes.csv,50128,16.4,86.9,27434,0,1,0,0,0,51,335,387,,,9.9
,project.acs.zipcodes.csv,50129,20.6,92.1,26028,32,12,5,9,68,0,4807,4933,,,4.6
,project.acs.zipcodes.csv,50130,29.3,95.7,40175,3,20,0,0,0,0,1638,1661,,,0.6
,project.acs.zipcodes.csv,50131,56.8,96.7,55596,747,403,52,14,267,19,18181,19683,,,3.9
,project.acs.zipcodes.csv,50132,10.9,95.3,24583,7,0,0,0,0,1,227,235,,,6.3
,project.acs.zipcodes.csv,50133,3.6,83.9,24167,0,3,0,3,6,0,391,403,,,2.4
,project.acs.zipcodes.csv,50134,34.2,96.7,35104,1,0,0,0,0,0,700,701,,,1.4
,project.acs.zipcodes.csv,50135,12.9,92.9,30699,7,0,0,0,8,13,1742,1770,,,4.9
,project.acs.zipcodes.csv,50136,9.9,95.1,26250,0,0,0,0,15,0,407,422,,,12.9
,project.acs.zipcodes.csv,50138,17.2,92.7,32520,45,86,0,58,140,22,10973,11324,,,4.5
,project.acs.zipcodes.csv,50139,13.6,94.3,36270,0,2,0,0,60,0,1473,1535,,,6
,project.acs.zipcodes.csv,50140,31.5,85.7,11190,16,162,14,34,71,20,2874,3191,,,5.7
,project.acs.zipcodes.csv,50141,17.4,92.9,31016,0,1,0,0,39,5,581,626,,,4.9
,project.acs.zipcodes.csv,50142,16.2,95.7,31467,6,14,0,0,36,13,919,988,,,2.6
,project.acs.zipcodes.csv,50143,36.7,94.3,31574,0,0,0,0,22,0,625,647,,,2.3
,project.acs.zipcodes.csv,50144,14.9,87.5,24258,21,1,4,0,14,0,2663,2703,,,7.2
,project.acs.zipcodes.csv,50146,5.8,84.5,26513,0,0,0,2,5,6,372,385,,,5.6
,project.acs.zipcodes.csv,50147,9,87.4,33625,0,0,0,0,13,0,367,380,,,8.9
,project.acs.zipcodes.csv,50148,17.2,95.3,29479,0,0,0,0,0,0,397,397,,,2
